case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
63331,,2,LOW,,2,1
63333,,2,LOW,,2,1
63334,,2,LOW,,2,1
63337,,2,LOW,,2,1
63341,,2,LOW,,2,1
63344,,2,LOW,,2,1
63346,,2,LOW,,2,1
63348,,2,LOW,,2,1
63349,,2,LOW,,2,1
63350,,2,LOW,,2,1
63351,,2,LOW,,2,1
63353,,2,LOW,,2,1
63354,,2,LOW,,2,1
63356,,2,LOW,,2,1
63358,,2,LOW,,2,1
63359,,2,LOW,,2,1
63361,,2,LOW,,2,1
63362,,2,LOW,,2,1
63364,,2,LOW,,2,1
63366,,2,LOW,,2,1
63369,,2,LOW,,2,1
63370,,2,LOW,,2,1
64902,,2,LOW,,2,1
64919,,2,LOW,,2,1
64939,,2,LOW,,2,1
64955,,2,LOW,,2,1
64988,,2,LOW,,2,1
64991,,2,LOW,,2,1
65002,,2,LOW,,2,1
65006,,2,LOW,,2,1
65022,,2,LOW,,2,1
65024,,2,LOW,,2,1
65035,,2,LOW,,2,1
65038,,2,LOW,,2,1
65047,,2,LOW,,2,1
65048,,2,LOW,,2,1
65069,,2,LOW,,2,1
65077,,2,LOW,,2,1
65102,,2,LOW,,2,1
65112,,2,LOW,,2,1
65113,,2,LOW,,2,1
65116,,2,LOW,,2,1
65120,,2,LOW,,2,1
65134,,2,LOW,,2,1
65148,,2,LOW,,2,1
65160,,2,LOW,,2,1
65201,,2,LOW,,2,1
65216,,2,LOW,,2,1
65218,,2,LOW,,2,1
65225,,2,LOW,,2,1
65227,,2,LOW,,2,1
65231,,2,LOW,,2,1
65236,,2,LOW,,2,1
65238,,2,LOW,,2,1
65295,,2,LOW,,2,1
65297,,2,LOW,,2,1
65302,,2,LOW,,2,1
65305,,2,LOW,,2,1
65350,,2,LOW,,2,1
65369,,2,LOW,,2,1
65372,,2,LOW,,2,1
66916,,2,LOW,,2,1
66917,,2,LOW,,2,1
66919,,2,LOW,,2,1
66921,,2,LOW,,2,1
66922,,2,LOW,,2,1
66924,,2,LOW,,2,1
66927,,2,LOW,,2,1
66928,,2,LOW,,2,1
66930,,2,LOW,,2,1
66933,,2,LOW,,2,1
66934,,2,LOW,,2,1
66938,,2,LOW,,2,1
66940,,2,LOW,,2,1
66942,,2,LOW,,2,1
66943,,2,LOW,,2,1
66946,,2,LOW,,2,1
66948,,2,LOW,,2,1
66949,,2,LOW,,2,1
66951,,2,LOW,,2,1
66952,,2,LOW,,2,1
66956,,2,LOW,,2,1
66958,,2,LOW,,2,1
66962,,2,LOW,,2,1
66964,,2,LOW,,2,1
66965,,2,LOW,,2,1
66967,,2,LOW,,2,1
66968,,2,LOW,,2,1
66970,,2,LOW,,2,1
66972,,2,LOW,,2,1
66974,,2,LOW,,2,1
66976,,2,LOW,,2,1
66978,,2,LOW,,2,1
66980,,2,LOW,,2,1
66982,,2,LOW,,2,1
66983,,2,LOW,,2,1
66984,,2,LOW,,2,1
66985,,2,LOW,,2,1
66986,,2,LOW,,2,1
66988,,2,LOW,,2,1
66989,,2,LOW,,2,1
66990,,2,LOW,,2,1
66991,,2,LOW,,2,1
66996,,2,LOW,,2,1
67000,,2,LOW,,2,1
67001,,2,LOW,,2,1
67003,,2,LOW,,2,1
67005,,2,LOW,,2,1
67008,,2,LOW,,2,1
67010,,2,LOW,,2,1
67011,,2,LOW,,2,1
67013,,2,LOW,,2,1
67014,,2,LOW,,2,1
67016,,2,LOW,,2,1
67019,,2,LOW,,2,1
67020,,2,LOW,,2,1
67022,,2,LOW,,2,1
67023,,2,LOW,,2,1
67025,,2,LOW,,2,1
67026,,2,LOW,,2,1
67028,,2,LOW,,2,1
67031,,2,LOW,,2,1
67032,,2,LOW,,2,1
67034,,2,LOW,,2,1
67036,,2,LOW,,2,1
67037,,2,LOW,,2,1
67038,,2,LOW,,2,1
67040,,2,LOW,,2,1
67041,,2,LOW,,2,1
67042,,2,LOW,,2,1
67046,,2,LOW,,2,1
67047,,2,LOW,,2,1
67049,,2,LOW,,2,1
67050,,2,LOW,,2,1
67052,,2,LOW,,2,1
67053,,2,LOW,,2,1
67056,,2,LOW,,2,1
67057,,2,LOW,,2,1
67059,,2,LOW,,2,1
67062,,2,LOW,,2,1
67063,,2,LOW,,2,1
67066,,2,LOW,,2,1
67067,,2,LOW,,2,1
67071,,2,LOW,,2,1
67072,,2,LOW,,2,1
67073,,2,LOW,,2,1
67075,,2,LOW,,2,1
67077,,2,LOW,,2,1
67079,,2,LOW,,2,1
67082,,2,LOW,,2,1
68643,,2,LOW,,2,1
68644,,2,LOW,,2,1
68646,,2,LOW,,2,1
68649,,2,LOW,,2,1
68650,,2,LOW,,2,1
68651,,2,LOW,,2,1
68652,,2,LOW,,2,1
68656,,2,LOW,,2,1
68659,,2,LOW,,2,1
68660,,2,LOW,,2,1
68665,,2,LOW,,2,1
68667,,2,LOW,,2,1
68670,,2,LOW,,2,1
68671,,2,LOW,,2,1
68672,,2,LOW,,2,1
68673,,2,LOW,,2,1
68674,,2,LOW,,2,1
68675,,2,LOW,,2,1
68676,,2,LOW,,2,1
68677,,2,LOW,,2,1
68678,,2,LOW,,2,1
68680,,2,LOW,,2,1
68681,,2,LOW,,2,1
68682,,2,LOW,,2,1
68683,,2,LOW,,2,1
68684,,2,LOW,,2,1
68685,,2,LOW,,2,1
68686,,2,LOW,,2,1
68689,,2,LOW,,2,1
68690,,2,LOW,,2,1
68691,,2,LOW,,2,1
68692,,2,LOW,,2,1
68693,,2,LOW,,2,1
68696,,2,LOW,,2,1
68697,,2,LOW,,2,1
68700,,2,LOW,,2,1
68701,,2,LOW,,2,1
68702,,2,LOW,,2,1
68705,,2,LOW,,2,1
68706,,2,LOW,,2,1
68707,,2,LOW,,2,1
68708,,2,LOW,,2,1
68709,,2,LOW,,2,1
68713,,2,LOW,,2,1
68714,,2,LOW,,2,1
68716,,2,LOW,,2,1
68717,,2,LOW,,2,1
68719,,2,LOW,,2,1
68721,,2,LOW,,2,1
68722,,2,LOW,,2,1
68723,,2,LOW,,2,1
68724,,2,LOW,,2,1
68726,,2,LOW,,2,1
68728,,2,LOW,,2,1
68730,,2,LOW,,2,1
68732,,2,LOW,,2,1
68733,,2,LOW,,2,1
68735,,2,LOW,,2,1
68736,,2,LOW,,2,1
68738,,2,LOW,,2,1
68739,,2,LOW,,2,1
68741,,2,LOW,,2,1
68746,,2,LOW,,2,1
68747,,2,LOW,,2,1
68748,,2,LOW,,2,1
68749,,2,LOW,,2,1
68751,,2,LOW,,2,1
68752,,2,LOW,,2,1
68753,,2,LOW,,2,1
68754,,2,LOW,,2,1
68756,,2,LOW,,2,1
68757,,2,LOW,,2,1
68758,,2,LOW,,2,1
68759,,2,LOW,,2,1
68760,,2,LOW,,2,1
68763,,2,LOW,,2,1
68764,,2,LOW,,2,1
68765,,2,LOW,,2,1
68766,,2,LOW,,2,1
68768,,2,LOW,,2,1
68769,,2,LOW,,2,1
68771,,2,LOW,,2,1
68774,,2,LOW,,2,1
68775,,2,LOW,,2,1
68776,,2,LOW,,2,1
68778,,2,LOW,,2,1
68779,,2,LOW,,2,1
68781,,2,LOW,,2,1
68782,,2,LOW,,2,1
68783,,2,LOW,,2,1
68784,,2,LOW,,2,1
68785,,2,LOW,,2,1
68788,,2,LOW,,2,1
68789,,2,LOW,,2,1
68790,,2,LOW,,2,1
68796,,2,LOW,,2,1
68797,,2,LOW,,2,1
68798,,2,LOW,,2,1
68799,,2,LOW,,2,1
68800,,2,LOW,,2,1
68801,,2,LOW,,2,1
68802,,2,LOW,,2,1
68803,,2,LOW,,2,1
68805,,2,LOW,,2,1
68806,,2,LOW,,2,1
68808,,2,LOW,,2,1
68809,,2,LOW,,2,1
68810,,2,LOW,,2,1
68812,,2,LOW,,2,1
68813,,2,LOW,,2,1
68814,,2,LOW,,2,1
68815,,2,LOW,,2,1
68817,,2,LOW,,2,1
68820,,2,LOW,,2,1
68821,,2,LOW,,2,1
68822,,2,LOW,,2,1
68823,,2,LOW,,2,1
68824,,2,LOW,,2,1
68825,,2,LOW,,2,1
68826,,2,LOW,,2,1
68827,,2,LOW,,2,1
68828,,2,LOW,,2,1
68829,,2,LOW,,2,1
68830,,2,LOW,,2,1
68831,,2,LOW,,2,1
68833,,2,LOW,,2,1
68835,,2,LOW,,2,1
68837,,2,LOW,,2,1
68840,,2,LOW,,2,1
68841,,2,LOW,,2,1
68843,,2,LOW,,2,1
72043,,2,LOW,,2,1
72046,,2,LOW,,2,1
72047,,2,LOW,,2,1
72048,,2,LOW,,2,1
72050,,2,LOW,,2,1
72052,,2,LOW,,2,1
72053,,2,LOW,,2,1
72055,,2,LOW,,2,1
72056,,2,LOW,,2,1
72057,,2,LOW,,2,1
72060,,2,LOW,,2,1
72061,,2,LOW,,2,1
72063,,2,LOW,,2,1
72065,,2,LOW,,2,1
72066,,2,LOW,,2,1
72068,,2,LOW,,2,1
72069,,2,LOW,,2,1
72070,,2,LOW,,2,1
72071,,2,LOW,,2,1
72072,,2,LOW,,2,1
72075,,2,LOW,,2,1
72076,,2,LOW,,2,1
72078,,2,LOW,,2,1
72079,,2,LOW,,2,1
72080,,2,LOW,,2,1
72081,,2,LOW,,2,1
72083,,2,LOW,,2,1
72084,,2,LOW,,2,1
72086,,2,LOW,,2,1
72088,,2,LOW,,2,1
72089,,2,LOW,,2,1
72090,,2,LOW,,2,1
72091,,2,LOW,,2,1
72093,,2,LOW,,2,1
72094,,2,LOW,,2,1
72096,,2,LOW,,2,1
72097,,2,LOW,,2,1
72098,,2,LOW,,2,1
72102,,2,LOW,,2,1
72103,,2,LOW,,2,1
72105,,2,LOW,,2,1
72109,,2,LOW,,2,1
72110,,2,LOW,,2,1
72111,,2,LOW,,2,1
72113,,2,LOW,,2,1
72114,,2,LOW,,2,1
72115,,2,LOW,,2,1
72118,,2,LOW,,2,1
72119,,2,LOW,,2,1
72120,,2,LOW,,2,1
72121,,2,LOW,,2,1
72125,,2,LOW,,2,1
72129,,2,LOW,,2,1
72130,,2,LOW,,2,1
72132,,2,LOW,,2,1
72135,,2,LOW,,2,1
72136,,2,LOW,,2,1
72137,,2,LOW,,2,1
72138,,2,LOW,,2,1
72139,,2,LOW,,2,1
72140,,2,LOW,,2,1
72142,,2,LOW,,2,1
72143,,2,LOW,,2,1
72145,,2,LOW,,2,1
72146,,2,LOW,,2,1
72147,,2,LOW,,2,1
